Date,Price,Open,High,Low,Vol.,Change %
7/29/2025,"3,381.06","3,367.37","3,381.10","3,362.81",31.07K,0.41%
7/28/2025,"3,367.31","3,379.60","3,402.40","3,357.00",3.25K,-0.69%
7/27/2025,"3,390.65","3,372.00","3,394.20","3,372.00",2.60K,-0.05%
7/25/2025,"3,392.50","3,429.20","3,434.30","3,382.30",55.80K,-1.13%
7/24/2025,"3,431.10","3,455.90","3,458.10","3,411.30",61.91K,-0.69%
7/23/2025,"3,455.10","3,502.80","3,509.00","3,448.70",68.68K,-1.33%
7/22/2025,"3,501.80","3,468.70","3,505.80","3,451.70",55.30K,1.12%
7/21/2025,"3,462.90","3,415.00","3,473.20","3,407.40",39.03K,3.21%
7/20/2025,"3,355.20","3,355.80","3,355.87","3,351.00",4.42K,-0.09%
7/18/2025,"3,358.30","3,347.50","3,368.00","3,337.20",115.41K,0.39%
7/17/2025,"3,345.30","3,354.70","3,358.20","3,314.30",161.74K,-0.41%
7/16/2025,"3,359.10","3,330.50","3,385.80","3,326.10",235.16K,0.67%
7/15/2025,"3,336.70","3,352.00","3,375.40","3,327.30",179.88K,-0.67%
7/14/2025,"3,359.10","3,376.50","3,389.30","3,348.50",195.34K,-0.15%
7/11/2025,"3,364.00","3,333.10","3,381.60","3,332.30",216.88K,1.15%
7/10/2025,"3,325.70","3,322.20","3,339.40","3,319.20",168.19K,0.14%
7/9/2025,"3,321.00","3,310.60","3,325.60","3,290.20",167.97K,0.12%
7/8/2025,"3,316.90","3,348.90","3,355.60","3,295.40",218.03K,-0.77%
7/7/2025,"3,342.80","3,344.50","3,352.90","3,304.40",235.76K,-0.11%
7/4/2025,"3,346.50","3,335.90","3,354.97","3,335.47",59.92K,0.11%
7/3/2025,"3,342.90","3,369.00","3,376.90","3,321.40",153.23K,-0.50%
7/2/2025,"3,359.70","3,350.00","3,371.00","3,337.20",132.19K,0.30%
7/1/2025,"3,349.80","3,315.70","3,370.50","3,313.70",168.85K,1.27%
6/30/2025,"3,307.70","3,284.30","3,321.60","3,250.50",144.20K,0.61%
